Q15717,0.997264552
Q9Y6M1,0.982736397
Q9NZI8,0.976089466
Q13148,0.975416529
P35637,0.967912185
Q01844,0.965473402
Q9UKV8,0.962531674
Q9HCK5,0.945152986
P31483,0.931614566
P26599,0.922093856
Q07955,0.920138705
Q9H9G7,0.915056396
Q9UL18,0.914449441
Q9HCE1,0.906195748
Q9HCJ0,0.793501514
Q8NDV7,0.764047998
Q9UPQ9,0.740643221
Q96PU8,0.426066607
O43251,0.129524559
P04150,0.001359427
P84243,0.000911616
Q7Z3B3,0.000860257
P61964,0.000609934
Q13127,0.000423735
Q8WXF1,0.000392969
P23246,0.000385387
P31269,0.000350346
Q15910,0.000318857
P35453,0.00023162
Q15233,0.000193596
Q9UHB9,0.000193106
Q9UKL0,0.00018501
Q15022,0.000181407
O60341,0.000152694
O00425,0.000129676
O75817,0.00011983
P04637,7.53E-05
P09132,6.87E-05
P01189,5.77E-05
P14210,4.25E-05
Q9BUL9,4.25E-05
O60832,3.96E-05
Q13952,3.86E-05
O14746,3.69E-05
P23511,3.57E-05
O95793,3.13E-05
P08047,2.91E-05
P07910,2.82E-05
P25208,2.73E-05
O94992,2.71E-05
P01344,2.45E-05
O95707,2.21E-05
Q7L2J0,2.19E-05
P49458,1.99E-05
O76094,1.91E-05
P01236,1.82E-05
Q96BK5,1.81E-05
Q01094,1.68E-05
P61011,1.19E-05
P37108,1.18E-05
P60484,1.13E-05
Q8IUX4,1.06E-05
P78345,9.82E-06
Q9H633,9.38E-06
Q13285,9.03E-06
P14859,7.99E-06
Q99575,6.75E-06
P35268,5.93E-06
P17735,4.89E-06
Q5S007,4.82E-06
Q8IYB3,4.33E-06
Q4G0J3,4.18E-06
P62140,2.84E-06
P62136,2.43E-06
Q92994,1.08E-06
P50750,7.81E-07
P05455,6.70E-07
O15042,5.07E-07
Q9NY12,1.41E-07
Q15287,1.16E-07
Q9UKC9,5.06E-08
O60306,3.53E-08
P55899,2.79E-08
Q12968,1.30E-08
